No.,Where,What,Prerequisites,Objectives,Programme,Exam,How,Language,Min. year,Professor,Other professors,Address,Tags,Might be online?,When,Code,Link,Countries
1,Czech Technical University in Prague,Application of Ionizing Radiation,"Basic knowledge of nuclear and atomic physics, interaction of ionizing radiation with matter and detection of ionizing radiation.","The course provides an overview of the applications of ionizing radiation in industry, analytical methods, geology and medicine.","1.DayOpening sessionLessonCharacteristic of Ionising Radiation and
  radioactivityLessonRadioanalytical methods and X-ray Fluorescence
  AnalysisLesson Application of Ionising radiation in Medicine2.DayExperimental exercises E1 –
  E4Experimental exercises E1 – E4Experimental demonstration:Proton Therapy centre Czech3.DayExperimental exercises E1 –
  E4Lesson Activation AnalysisLesson: High Energy Physics,
  Accelerators and synchrotron Radiation ApplicationsExcursion4.DayLessonApplication of Ionising radiation in
  Geology and beophysicsExperimental exercises E1 – E4DataAnalysis, Preparation of Presentation5.DayPresentation of ResultsCourse examClosing CeremonyExperimental exercisesE1 – Radiochromic Gel
  DosimetryE2 – Spectrometry of Gamma Radiation with HP(Ge) detectorE3 – X – Ray Fluorescence
  AnalysisE4 – Personal Dosimetry TLD","Written test focused on the issue of interaction of ionizing radiation and application of ionizing radiation in industry, analytical methods, geology and medicine.",Classic ATHENS course,English,2,Tomas Cechak,"Prof. Tomáš Trojek, Prof. Ladislav Musílek, Prof. Tomáš Čechák, Prof. Milan Matolín, Ing. Karel Augsten, Mgr. H. Bártová, Ing. Jiří Martinčík, Ing. Ondřej Kořistka","Faculty of Nuclear Sciences and Physical Engineering, Brehova 7, 115 19 Prague 1, Czech RepublicPrague",Physics,Yes,March 2024,CTU02,https://register.athensnetwork.eu/courses/course-show/2846,Czechia
2,Czech Technical University in Prague,Text Searching Algorithms,"Sets, relations, oriented graphs, finite automata, regular expressions.","Text is the simplest and most natural representation of information in a
range of areas. Text is a linear sequence of symbols from some alphabet. The text is manipulated in many application areas: processing of
text in natural and formal languages, study of sequences in molecular
biology, music analysis, etc.The design of algorithms that process texts goes back at least thirty
years. In particular, the 1990s produced many new results. This
progress is due in part to genome research, where text algorithms
are often used. The basic problem of text processing concerns string
matching. It is used to access information and this operation is used
very frequently. We have recognized while working in this area that finite automata are very useful tools for understanding and solving many
text processing problems. We have found in some cases that well
known algorithms are in fact simulators of non-deterministic finite automata serving as models of these algorithms. For this reason the material used in this course is based mainly on results from the theory
of finite automata. Because the string is a central notion in this area,
Stringology has become the nickname of this subfield of algorithmic
research.","Five 3-hour lectures:1. Overview of Stringology, string matching problems, string matching and finite automata.2. Forward string matching, dynamic programming and bit parallelism.3. Factor automata, subsequence automata, repetition in text.4. Forward string matching, fail function.5. Backward string matching, models of backward string matching,
Boyer-Moore algorithm.Four 2-hour seminars:1. Mastering finite automata: determinisation, union, intersection, εtransitions removal, elimination of more than one initial states.2. Construction of string matching automata, their determinisation
and simulation.3. Application of factor automata.4. Backward string matching.","Written exam with the duration of 1 hour, evaluation of the results.",Classic ATHENS course,English,2,Ondrej Guth,,Thakurova 7Prague 6,Computer useDatabase and network design and administrationSoftware and applications development and analysis,Yes,March 2024,CTU03,https://register.athensnetwork.eu/courses/course-show/2847,Czechia
3,Czech Technical University in Prague,Game Theory,Basic undergraduate calculus and algebra.,"Game is a mathematical model of any decision situation, the result of which depends on the decision of at least two different individuals. Since such situations can be found in almost all fields related to our lives, the domain of applications of game theory is exceptionally broad and rich. It covers economics, industry, political and social sciences, transportation, warfare, biology, ethics and many other branches. Game theory not only represents  an outstanding opportunity to persuade a wide audience of the importance, usefulness and even attractiveness of mathematics, it also leads mathematicians and technicians to such fields as ethology, evolutionary biology, social sciences, etc., that would otherwise remain marginal for many of them. The aim of the course is to provide the survey of game theory and its fascinating applications.","The course covers:1. Classification and mathematical models of decision situations, history2. Utility theory, rational choice theory3. Explicit form games4. Normal form games5. Bimatrix games, methods for equilibrium strategies search6. Repeated games7. Antagonistic conflict, theory of matrix games8. Two-person cooperative games without transferable payoffs9. N-person cooperative games10. Power indices11. Decisions under risk and uncertainty12. Decisions in conflicts against p-intelligent players",Written,Classic ATHENS course,English,3,Magdalena Hyksova,,"Czech Technical University, Faculty of Transportation Sciences, Na Florenci 25, 110 00 Prague 1, Czech RepublicPrague",Mathematics,Yes,March 2024,CTU08,https://register.athensnetwork.eu/courses/course-show/2848,Czechia
4,Czech Technical University in Prague,PC Based DAQ in Fluid Dynamics and Thermodynamics,"General
knowledge of fluid mechanics and thermodynamics. Basic knowledge of any
programming language.","Research in Fluid Dynamics and Thermodynamics is
highly supported by experimental measurements. This course provides an introduction
to the fundamentals of the PC based DAQ of experimental measurements in Fluid
Dynamics and Thermodynamics. Participants will learn how to plan, set up and
run automatic measurements. The participants will use modern DAQ HW and SW, and
will develop own codes to obtain, store and analyze measured data. In the
practical part of this course, participants will be able to prepare small
experimental measurements.","The theoretical part of the course includes a
brief history of measurement, an introduction to physical properties, and an introduction
to analog and digital measurement devices. The fundamentals of signal
conditioning and processing is also discussed.The
participants will be divided into groups of 3. The following practical part of
the programme is to prepare and test different applied measurement tasks.1.Measurement and control of the waterflow
in a pipeline2.Measurement of thermodynamic
properties of moist air3.Measurement of air propeller characteristics
in a wind tunnel4.Measurement of basic aerodynamic
properties of a solid body in a steady airflow in a wind tunnel","The evaluation
is based on the presentation of the completed applied task at the end of each
day and a small quiz regarding the theoretical part of the programme.",Classic ATHENS course,English,3,"Ing. Michal Schmirler, Ph.D.",michal.schmirler@fs.cvut.cz,"Czech Technical University, Faculty of Mechanical Engineering, Technicka 4, CZ-166 07 Prague 6, Czech Republic, Prague 6Prague",Physics,Yes,March 2024,CTU10,https://register.athensnetwork.eu/courses/course-show/2849,Czechia
5,Czech Technical University in Prague,Introduction to Lean Six Sigma Management,None,"The
objective of this course is to acquaint students with intermediate level of Lean
Six Sigma Management from its beginning till todays use. Besides theory, course
will focus on different Lean Six Sigma perspectives and examples.Course
also includes basic aspects of business management with different perceptions
such as Project Management, Risk Management or Decision Making.",Programme to be followed:•	Introduction to Lean Six Sigma•	Introduction to Business Management•	Understanding process and activities•	Principles and methodology of Lean Six Sigma,Quiz,Classic ATHENS course,English,2,Patrik Budsky,"Patrik Budsky, Vaclav Michalec","Czech Technical University, Faculty of Mechanical Engineering, Department of Management and Economics, Karlovo náměstí 13, 121 35, Praha 2, Prague, Czech Republic.Prague",Management and administrationWork skills,Yes,March 2024,CTU12,https://register.athensnetwork.eu/courses/course-show/2850,Czechia
6,Czech Technical University in Prague,Company Crisis,"Basic knowledge ofFinancial Management, Accounting, Microeconomics, and
Macroeconomics.","To deepen the knowledge of a
business crisis - from identifying, evaluating possible solutions, executing
the solution, to evaluating the outcome.","1.Introduction to company crisis2.Causes of company crisis3.Crisis identification4.Crisis solutions1)Pre-insolvency solutions (preventive restructuring
and prior transformations)2)Insolvency solutions - reorganization, liquidation",Presentation of a group case study,Classic ATHENS course,English,3,Patrik Budsky,Patrik Budsky (Czech Technical University in Prague) and Lukas Valenta (Prague University of Economics and Business),"Czech Technical University, Faculty of Mechanical Engineering, Department of Management and Economics, Karlovo náměstí 13, 121 35, Praha 2, Prague, Czech Republic.Prague","Accounting and taxationFinance, banking and insuranceManagement and administration",Yes,March 2024,CTU13,https://register.athensnetwork.eu/courses/course-show/2851,Czechia
7,Czech Technical University in Prague,Geometrical Aspects of Spectral Theory,"Mastery of elementary notions of linear algebra in
finite-dimensional spaces and calculus.","The goal of the course is to acquaint the students
with spectral methods in the theory of linear differential operators coming
both from modern physics and from classical physics, with special emphasis put
on geometrically induced spectral properties. We give an overview of classical
results and also recent developments in the field, and we always attempt to do this
by providing a physical interpretation of the mathematical theorems.","Spectral theory is an extremely rich
field, which has found applications in many areas of physics and mathematics.
One reason why it is so attractive on the formal level is that it provides a unifying
framework for problems in various branches of mathematics, for example partial
differential equations, calculus of variations, geometry, stochastic analysis,
etc.1. Motivations. Differential
  equations in physics. Unifying framework of spectral theory. Geometrical
  aspects.2. Preliminaries. Glazman's
  classification of Euclidean domains. Elements of functional analysis. The
  point and continuous spectra. Self-adjointness. Quadratic forms. Sobolev
  spaces.3. Quasi-conical domains. Location of
  propagating modes. Dimensional features of the Euclidean space. The Hardy
  inequality. Stability of matter. The crisis of classical physics and the rise
  of quantum mechanics. Mathematical formulation of quantum theory. Virtual
  bound states.4. Quasi-bounded domains. Discrete and
essential spectra. Compactness. Vibrational systems. Spectral isoperimetric
inequalities. The symmetric rearrangement and the Faber-Krahn inequality for
the principal frequency. Optimality of a disk in physics.5. Quasi-cylindrical domains. Tubes.
  Elements of differential geometry of curves and its moving frames. Quantum
  waveguides. Geometrically induced bound states and Hardy-type inequalities.Applications to nanostructure devices and stochastic
  processes.","Solving specific exercises related to the topic of
the course based on the acquired knowledge.",Classic ATHENS course,English,2,David Krejčiřík,,"Czech Technical University, Faculty of Nuclear Sciences and Physical Engineering, Trojanova 13, 120 00 Praha 2, Czech RepublicPrague",MathematicsPhysics,Yes,March 2024,CTU22,https://register.athensnetwork.eu/courses/course-show/2852,Czechia
8,Czech Technical University in Prague,Publicly owned private spaces (POPS) in Prague - BIP,"Interest in urban development including on site
exploration – walking, cycling, public transport.General knowledge of working with digital data (maps)
and visuals.Curiosity, good humour and teamwork orientation.Urban analysis as such is most useful for architects, urbanist, planners
and geographers, nevertheless students of various (however remotely) related
disciplines are welcome to explore its potential.","(1) Learning to identify basic patterns and elements
of urban structure and interpret them in the context of urban development.(2) Exploring various urban analysis techniques and
tools in a process combining practical and theoretical inputs.(3) Getting to know (and enjoying!) Prague form the
urbanists´perspective.","The course includes:•	one-week on-site course in Prague (March 18 - 22) including all Athens activities• three 2-hour lessons of on-line program (March 25 - April 12)The participation in both parts of the course is mandatory. Please check your availability for the online sessions before applying for this course (see below).After 1990, the
nature of public spaces in post-socialist cities began to expand. With the new
economic model of urban development, in addition to classic streets, squares
and public green spaces in modernist housing estates, we also have gated
communities, shopping centres and privately owned public spaces (POPS). Most
often, POPS are part of new office and commercial projects.At the
workshop, we will discuss the nature of public space and its development and
analyze some examples of POPS in Prague. In groups, students will investigate
POPS urban and architectural characteristics, the form of behavioural control,
and see if and how POPS affects people and their activities in the place. At
the end of the workshop, each group will present one selected POPS in Prague.With this
knowledge, in the second phase of the workshop, students will identify and
describe selected POPS in the city where they are studying. They will perform a
similar analysis as they learned at the Prague workshop. For the next three
weeks after the Prague workshop, there will be twice-a-week a two-hour
consultation at which the students will present the following outcomes:1. identified
POPS in their city2. explain its
history and development3. describe its
urban and architectural features in comparison with the public space in the
vicinity4. describe the
activities that take place in POPS and the forms of control present in POPS.At the end of
the online part of the course, everyone submits a presentation of one selected
POPS in one of the European cities. This way, we will learn about the various
urban forms of POPS, forms of control and activities that take place there. We
can also learn how European policies address the inclusion of the whole society
in the urban space.On-line meetings schedule:You have to participate at tree of the following two-hour on-line sessions (UTC+2) (you can choose any of the following dates)December 4 at 9:00am, or 6:00pmDecember 6 at 9:00am, or 6:00pmDecember 8 at 9:00am, or 6:00pmDecember 11 at 9:00am, or 6:00pmDecember 13 at 9:00am, or 6:00pmDecember 15 at 9:00am, or 6:00pm","At the end of
the online part of the course, everyone submits a presentation of one selected
POPS in one of the European cities.",BIP (combination of one-week on-site course and additional hours of online program),English,3,"Ing. Arch. Jana Zdráhalová, Ph.D. ,","Ing. Arch. Jana Zdráhalová, Ph.D.","Czech Technical University, Faculty of Architecture, Department of Urbanism, Thákurova 9, 166 34, Praha 6, Czech RepublicPrague",Architecture and town planning,Yes,March 2024,CTU24BIP,https://register.athensnetwork.eu/courses/course-show/2853,Czechia
9,Czech Technical University in Prague,3D Measuring Methods in Transportation,Basic usage of AutoCAD and Excel software,"The aim of the course is to present the application of
modern measuring methods for the transportation and road engineering purposes.
Theoretical lectures are accompanied by practical field measurements and
processing of the acquired data. The general aim is to show the strengths and
limitations of various methods for spatial measurements. Various measuring
devices are presented together with data acquisition, processing and
comparison. Furthermore, the focus is on practical experience to enable
subsequent application and implementation of the geodetic measuring methods,
terrestrial laser scanning or photogrammetry in various areas.","The course covers:Examples and practical implementation of
     measuring methods in road engineering (planning, design, construction,
     operation, and maintenance)Geodetic principles and tachymetric surveyingLaser scanningClose-range and aerial photogrammetryField measurements and acquisition of dataData processing, cleaning and validationComparison of obtained results (quality, range,
     accuracy)",Reviewed laboratory report,Classic ATHENS course,English,0,Zdeněk Svatý,"Zdeněk Svatý, Michal Frydrýn","Czech Technical University, Faculty of Transportation Sciences, Horská 2040/3, 128 00 Prague 2, Czech RepublicPrague",Building and civil engineering,Yes,March 2024,CTU25,https://register.athensnetwork.eu/courses/course-show/2854,Czechia
10,Czech Technical University in Prague,Introduction to Vibrational Spectroscopy,Basic knowledge of chemistry,"The main goal of  the course is to provide an introduction to practical application of infrared and Raman spectroscopy, microscopy and nanoscopy.","Five 3-hour lectures / morning sessions:1. Introduction and FTIR measurements.2. FTIR reflection techniques, VCD technique.3. Vibrational micro- and nano-spectroscopy.4. FT Raman spectroscopy.5. Computer treatment, multivariate data evaluation and interpretation of spectra.Five 3-hour afternoon sessions: practical courses to the morning topics.More details: https://old.vscht.cz/anl/vibspec/",Final evaluation by means of the evaluation tests.,Classic ATHENS course,English,2,Pavel Matejka,"Pavel Matejka, Martin Clupek, Vadym Prokopec, Marcela Dendisová, Martin Kral","Technicka 5, Prague 6Prague",BiochemistryBiologyChemistryEarth SciencesEnvironmental sciencesMathematicsNatural environments and wildlifePhysicsStatistics,Yes,March 2024,CTU19,https://register.athensnetwork.eu/courses/course-show/2855,Czechia
