No.,Where,What,Prerequisites,Objectives,Programme,Exam,How,Language,Min. year,Professor,Other professors,Address,Tags,Might be online?,When,Code,Link,Countries
1,Warsaw University of Technology,"Energy Sources, Conversion and Storage",Basic thermodynamics,"After the course the student should be able to evaluate energy resources, construct energy scenarios, make evaluation of implementation possibilities for new energy technologies, evaluation of environmental threats related to energy conversion processes, feasibility of individual technologies for certain geographical areas (esp. EU). Higher emphasis will be put on alternative energy sources; presenting new and prospective energy conversion and storage technologies.","Basic terms related to energy conversion processes. World’s energy resources (organic fossil fuels, nuclear fuels, renewable sources): documented and possible. Selected scenarios for world’s energy development. Threats related to energy conversion processes. Energy conversion efficiency for selected processes and devices. Issues of energy accumulation in various forms. Possibility of energy storage. Environmental footprint of energy conversion processes: local and global. Fossil fuels technologies. Renewable sources: sun as an energy source, conversion of solar radiation energy (heat and electricity). Biomass and biofuels. Energy of waters and oceans. Geothermy – geothermal systems, prospective hot dry rock technologies. Nuclear reactions, nuclear fission, fusion, nuclear threats. Heat pumps, examples of application. Hydrogen as an energy carrier, hydrogen production and storage. Fuel cells in power industry and transportation. Prospective power generation technologies. Rationalization of energy consumption, increase of energy conversion efficiencies.",Multi choice test (about 30 questions),Classic ATHENS course,English,2,"Prof. Tomasz Wiśniewski, Ph.D., D.Sc.","Prof. Tomasz Wiśniewski, Prof. Roman Domański, Prof. Piotr Łapka, M.Sc. Łukasz Cieślikiewicz, M.Sc. Michał Wasik, M.Sc. Adam Rajewski","Warsaw University of Technology, Faculty of Power and Aeronautical Engineering, Institute of Heat Engineering, ul. Nowowiejska 21/25Warsaw",Electricity and energy,Yes,March 2023,WUT11,https://register.athensnetwork.eu/courses/course-show/2679,Poland
2,Warsaw University of Technology,Ethical Aspects of Research and Engineering,None,1. General formation-related objectives:to make students sensitive to moral values related to R&D;to prepare students for undertaking the responsibility for ethical quality of R&D activities;to prepare students for resolving ethical dilemmas that appear in R&D practice;to help students in developing individual personal ethical stance with respect to R&D issues.2. Knowledge-related objectives:to extend basic knowledge concerning general ethics as a philosophical discipline;to identify ethical issues related to R&D activities;to introduce the methodology of resolving ethical dilemmas related to R&D activities.3. Skills-related objectives:to enhance skills of critical analysis of ethical aspects of R&D activities;to enhance skills of discussing and defending one’s own ethical stance;to encourage students to develop habits of continual reflection over ethical aspects of their every-day activities.,"Lecture Contents:1. Elements of meta-ethics and general ethics (4 h)the definition of ethics, and the structure of ethics as a philosophical discipline;the definition of meta-ethics as the methodology of ethics;the historical development of ethics;the relation of ethics to other philosophical disciplines;the relation of ethics to law, religion and etiquette;the relation of ethics to psychology, sociology and other social sciences.2. Methodological background of R&D ethics (2 h)the definitions of truth and their ethical consequences;the crisis of truth in the postmodern culture;the naïve concept of scientific method and its criticism;the epistemological status of mathematical modelling and measurement.3. Ethical aspects of principal R&D activities (4 h)the choice of a research problem or of a design object;ethical aspects of the choice of an R&D methodology;ethical aspects of the design and execution of experiments and tests;ethical aspects of the acquisition and processing of experimental data;ethical aspects of the experimentation and testing with the involvement of live organisms;the evolution of R&D ethics;an example of a R&D-related ethical dilemma.4. Ethical aspects of information processes (4 h)the definition of an information process;ethical issues related to the scientific or technical discussion;ethical issues related to the publication of R&D results;ethical issues related to the reviewing process;ethical issues related to grant applications.5. Protection of intellectual property – legal and ethical aspects (2 h)ethical issues related to legal protection of author's rights;ethical issues related to patenting;an ethical argumentation against legal protection of material rights.6. Ethical aspects of using information technologies (ITs) (2 h)a classification of ethical issues related to IT usage;a basic approach of ethical problems related to IT usage;the netiquette or internet ethics and its relation to the journalists ethics;ethical dilemmas related to IT usage.7. Summary and conclusions (2 h)8. Class tests (2 h)Scope
of class tutorials:Class tutorial #CT1: Art of ethical discourse (2 h)Friedman 2022 – The paradox of moral codes (MP3)Singer 2022 – Consequentialism (MP3)Strawson et al. 2022 – Is moral responsibility an illusion? (MP3)Class tutorial #CT2: Ethical dilemmas related to R&D principal activities (2 h)Folta & English 2022 – Artificial sweetener-cancer study debunked (MP3)Morawski 2019 – Typology and aetiology of research misconduct (PDF)Texier 2019 – Debunking the Stanford prison experiment (MP3)Class tutorial #CT3: Ethical dilemmas related to data processing and publication (2 h)Astaneh 2021 – Biomedical authorship: common misconducts & possible scenarios for disputes (PDF)Berger 2017 – Everything you ever wanted to know about predatory publishing (PDF)Mitchell 2022 – Half of researchers admit questionable practices in Dutch survey (PDF)Class tutorial #CT4: Ethical dilemmas related to legal protection of IP (2 h)Kinsella 2021 – Guest lecture on IP for Walter Block’s Law and Economics class (MP3Kinsella 2022 – Does intellectual property exist (MP3)Marks & Stevens 2022 – Patents and the creativity requirement (MP3)Class tutorial #CT5: Ethical dilemmas related to new technologies (2 h)Fry 2021 – The power and perils of big data (MP3)Miodownik 2021 – Dare to repair: the fight for the right to repair (MP3)Railton 2022 – AI and ethics (MP3)Sources of individual readings and inspiration for class tutorials will be available not later than two weeks before the ATHENS session.",Written two-part exam,Classic ATHENS course,English,3,"Roman Z. Morawski, Ph.D., D.Sc.","Prof. Roman Z. Morawski, Faculty of Electronics and Information Technology","Faculty of Electronics and Information Technology, Nowowiejska str. 15/19Warsaw, Poland",Personal skills and developmentPhilosophy and ethics,Yes,March 2023,WUT3,https://register.athensnetwork.eu/courses/course-show/2680,Poland
3,Czech Technical University in Prague,Application of Ionizing Radiation,"Basic knowledge of nuclear and atomic physics, interaction of ionizing radiation with matter and detection of ionizing radiation.","The course provides an overview of the applications of ionizing radiation in industry, analytical methods, geology and medicine.","1.DayOpening sessionLessonCharacteristic of Ionising Radiation and
  radioactivityLessonRadioanalytical methods and X-ray Fluorescence
  AnalysisLesson Application of Ionising radiation in Medicine2.DayExperimental exercises E1 –
  E4Experimental exercises E1 – E4Experimental demonstration:Proton Therapy centre Czech3.DayExperimental exercises E1 –
  E4Lesson Activation AnalysisLesson: High Energy Physics,
  Accelerators and synchrotron Radiation ApplicationsExcursion4.DayLessonApplication of Ionising radiation in
  Geology and beophysicsExperimental exercises E1 – E4DataAnalysis, Preparation of Presentation5.DayPresentation of ResultsCourse examClosing CeremonyExperimental exercisesE1 – Radiochromic Gel
  DosimetryE2 – Spectrometry of Gamma Radiation with HP(Ge) detectorE3 – X – Ray Fluorescence
  AnalysisE4 – Personal Dosimetry TLD","Written test focused on the issue of interaction of ionizing radiation and application of ionizing radiation in industry, analytical methods, geology and medicine.",Classic ATHENS course,English,2,Tomas Cechak,"Prof. Tomáš Trojek, Prof. Ladislav Musílek, Prof. Tomáš Čechák, Prof. Milan Matolín, Ing. Karel Augsten, Mgr. H. Bártová, Ing. Jiří Martinčík, Ing. Ondřej Kořistka","Faculty of Nuclear Sciences and Physical Engineering, Brehova 7, 115 19 Prague 1, Czech RepublicPrague",Physics,Yes,March 2023,CTU02,https://register.athensnetwork.eu/courses/course-show/2681,Czechia
4,Czech Technical University in Prague,Game Theory,Basic undergraduate calculus and algebra.,"Game is a mathematical model of any decision situation, the result of which depends on the decision of at least two different individuals. Since such situations can be found in almost all fields related to our lives, the domain of applications of game theory is exceptionally broad and rich. It covers economics, industry, political and social sciences, transportation, warfare, biology, ethics and many other branches. Game theory not only represents  an outstanding opportunity to persuade a wide audience of the importance, usefulness and even attractiveness of mathematics, it also leads mathematicians and technicians to such fields as ethology, evolutionary biology, social sciences, etc., that would otherwise remain marginal for many of them. The aim of the course is to provide the survey of game theory and its fascinating applications.","The course covers:1. Classification and mathematical models of decision situations, history2. Utility theory, rational choice theory3. Explicit form games4. Normal form games5. Bimatrix games, methods for equilibrium strategies search6. Repeated games7. Antagonistic conflict, theory of matrix games8. Two-person cooperative games without transferable payoffs9. N-person cooperative games10. Power indices11. Decisions under risk and uncertainty12. Decisions in conflicts against p-intelligent players",Written,Classic ATHENS course,English,3,Magdalena Hyksova,,"Czech Technical University, Faculty of Transportation Sciences, Na Florenci 25, 110 00 Prague 1, Czech RepublicPrague",Mathematics,Yes,March 2023,CTU08,https://register.athensnetwork.eu/courses/course-show/2682,Czechia
5,Czech Technical University in Prague,PC Based DAQ in Fluid Dynamics and Thermodynamics,"General
knowledge of fluid mechanics and thermodynamics. Basic knowledge of any
programming language.","Research in Fluid Dynamics and Thermodynamics is
highly supported by experimental measurements. This course provides an introduction
to the fundamentals of the PC based DAQ of experimental measurements in Fluid
Dynamics and Thermodynamics. Participants will learn how to plan, set up and
run automatic measurements. The participants will use modern DAQ HW and SW, and
will develop own codes to obtain, store and analyze measured data. In the
practical part of this course, participants will be able to prepare small
experimental measurements.","The theoretical part of the course includes a
brief history of measurement, an introduction to physical properties, and an introduction
to analog and digital measurement devices. The fundamentals of signal
conditioning and processing is also discussed.The
participants will be divided into groups of 3. The following practical part of
the programme is to prepare and test different applied measurement tasks.1.Measurement and control of the waterflow
in a pipeline2.Measurement of thermodynamic
properties of moist air3.Measurement of air propeller characteristics
in a wind tunnel4.Measurement of basic aerodynamic
properties of a solid body in a steady airflow in a wind tunnel","The evaluation
is based on the presentation of the completed applied task at the end of each
day and a small quiz regarding the theoretical part of the programme.",Classic ATHENS course,English,3,"Ing. Michal Schmirler, Ph.D.",michal.schmirler@fs.cvut.cz,"Czech Technical University, Faculty of Mechanical Engineering, Technicka 4, CZ-166 07 Prague 6, Czech Republic, Prague 6Prague",Physics,Yes,March 2023,CTU10,https://register.athensnetwork.eu/courses/course-show/2683,Czechia
6,Czech Technical University in Prague,Introduction to Lean Six Sigma Management,None,"The
objective of this course is to acquaint students with intermediate level of Lean
Six Sigma Management from its beginning till todays use. Besides theory, course
will focus on different Lean Six Sigma perspectives and examples.Course
also includes basic aspects of business management with different perceptions
such as Project Management, Risk Management or Decision Making.",Programme to be followed:•	Introduction to Lean Six Sigma•	Introduction to Business Management•	Understanding process and activities•	Principles and methodology of Lean Six Sigma,Quiz,Classic ATHENS course,English,2,Patrik Budsky,"Patrik Budsky, Vaclav Michalec","Czech Technical University, Faculty of Mechanical Engineering, Department of Management and Economics, Karlovo náměstí 13, 121 35, Praha 2, Prague, Czech Republic.Prague",Management and administrationWork skills,Yes,March 2023,CTU12,https://register.athensnetwork.eu/courses/course-show/2684,Czechia
7,Czech Technical University in Prague,Company Crisis,"Basic knowledge ofFinancial Management, Accounting, Microeconomics, and
Macroeconomics.","To deepen the knowledge of a
business crisis - from identifying, evaluating possible solutions, executing
the solution, to evaluating the outcome.","1.Introduction to company crisis2.Causes of company crisis3.Crisis identification4.Crisis solutions1)Pre-insolvency solutions (preventive restructuring
and prior transformations)2)Insolvency solutions - reorganization, liquidation",Presentation of a group case study,Classic ATHENS course,English,3,Patrik Budsky,Patrik Budsky (Czech Technical University in Prague) and Lukas Valenta (Prague University of Economics and Business),"Czech Technical University, Faculty of Mechanical Engineering, Department of Management and Economics, Karlovo náměstí 13, 121 35, Praha 2, Prague, Czech Republic.Prague","Accounting and taxationFinance, banking and insuranceManagement and administration",Yes,March 2023,CTU13,https://register.athensnetwork.eu/courses/course-show/2685,Czechia
8,Czech Technical University in Prague,Performing Security Management in a Digitalized World,"English at least at B2 level. Interest in the topic is most important, specific knowledge is not required.","The aim of the course is to acquaint students with ways to manage risks and challenges associated with modern technologies in today's globalized society. The course will address current and future challenges related to the development of new technologies, such as self-driving vehicles, but also cyber security management or use of technologies from authoritarian countries. The course will also introduce how modern technologies can contribute to solving fundamental problems that our society faces, such as environmental issues. During the course, representatives of four prestigious companies – Renault Trucks, Valeo, RHEA Group and DefSec – will share their unique practical experience. Graduates of the course should get a basic overview of the issue, should be able to think about related problems in context, understand how crisis situations are managed in practice, and learn how to apply those methods themselves.","Programme to be followed:Monday•	Introduction of the presentations and the lecturers, discussion about expectations (J. Švec, V. Montenero)•	Icebreaker, getting to know each other (J. Švec)
•	General introduction to security risks in a digitalized world (J. Švec)•	(Lunch break)•	Cognitive warfare: general introduction and a situation game (DefSec)Tuesday•	How multinational company reacts to fast changes in a globalized world (Renault Trucks)•	(Lunch break)•	A regional green transition as a coordination challenge – a cooperative game (O. Kolínský)Wednesday•	How space sector may contribute to security of the European Union (RHEA Group)•	(Lunch break)•	Why is security important for business (V. Montenero)Thursday•	Threats and dilemmas in the future of autonomous vehicles (Valeo)•	(Lunch break)•	Authoritarian technology as a threat to security (J. Švec)Friday•	Final test•	Role playing a security incident: improving management behaviour in security (V. Montenero)•	(Lunch break)•	Conclusions and discussion, feedback","activity (50%), paper test (50%)",Classic ATHENS course,English,,"Vincent Blaise Montenero, Ph.D.","Ing. Jan Švec , Vincent Blaise Montenero, Ph.D., Ondřej Kolínský, MSc.","Czech Technical University in Prague, Masaryk Institute of Advanced Studies, Kolejní 2637/2a, Prague 6Prague",Management and administration,Yes,March 2023,CTU26,https://register.athensnetwork.eu/courses/course-show/2686,Czechia
9,Delft University of Technology,Finite Element Modeling of Vibrating Elastic Structures,"Bachelor courses in calculus, linear
algebra, differential equations and computer programming;For this course a basic knowledge of English is indispensable.","The objective of this course is to
introduce students to the mathematical modelling and numerical simulation of
vibrations of structures. The finite element method will be introduced on a set
of problems of increasing complexity.","Day 1: mass-spring-damper system, sets
of interconnected points massesDay 2: rigid body mechanism;Day 3: linear elastic medium;Day 4: finite element modeling;Day 5: company visit and student
presentations;","Course assessment is
based on active participation in the course",Classic ATHENS course,English,3,Dr. Domenico Lahaye,Dr. D. Lahaye,Numerical Analysis Group - Delft Institute of Applied Mathematics (DIAM) - TU DelftDelft,Software and applications development and analysis,Yes,March 2023,TUD01,https://register.athensnetwork.eu/courses/course-show/2687,Netherlands
10,Delft University of Technology,Computer aided analysis and optimization of sustainable electrical power systems,"Solid background in calculus, linear algebra,
elementary physics, and electric circuits.","At the end of the course the students will be able to:·Describe the working
principles of the main components of interconnected sustainable electrical power
systems.·Perform power flow
analysis of interconnected power systems with respect to their behavior in
steady-state conditions.·Develop and apply
probabilistic power flow algorithms for evaluating high number of
uncertainties.·Formulate and solve
optimal power flow for operational problems.","Lecture 1: Complex power and per-unit calculationLecture 2: Modelling of transmission, generation, and
consumptionLecture 3: Balancing and power system controlLecture 4: Deterministic and probabilistic power flowLecture 5: Optimal power flow","Written exam (2 hours) with open questions and
numerical problems.",Classic ATHENS course,English,4,dr.ir J.L. Rueda Torres,,"Faculty of Electrical Engineering, Mathematics and Computer ScienceDelft",Software and applications development and analysis,Yes,March 2023,TUD14,https://register.athensnetwork.eu/courses/course-show/2688,Netherlands
